0,categories,2015,2016,2017,2018,2019,2020
1,clean_sweep,0,0,0,0,1,0
2,community_event,1399,915,461,459,1099,0
3,emergency,0,3,0,0,0,0
4,holiday,2866,2927,2796,2964,2795,1778
5,lng_security,260,352,350,236,147,128
6,mass_melnea,0,0,0,0,2551,5369
7,parade/festival,3717,3766,6658,3067,3166,156
8,political,3036,404,61,198,74,37
9,protest,405,1,0,0,0,0
10,race,3477,3359,3185,3289,3206,7
11,sporting_event,2890,16,2819,4743,5320,153
12,sports_parade,0,11,1,0,37,0
13,td_garden,0,0,0,0,59,51
14,uncategorized,574,866,604,903,1465,1355
